clip_id,p_value,e_value,i_inferred_value
AboutTime_002,4.333,3.52,3.8
AboutTime_003,4.167,4.2,3.333333333333333
AboutTime_005,3.5,3.36,3.8333333333333335
AboutTime_006,3.833,4.2,3.8333333333333335
AboutTime_008,3.167,3.0,3.75
AboutTime_010,3.5,3.68,4.0
AboutTime_011,3.667,4.52,3.8333333333333335
AboutTime_012,3.667,3.64,4.2
AboutTime_013,2.833,3.8,3.6666666666666665
AboutTime_014,3.667,4.2,3.75
AboutTime_015,3.667,3.28,3.75
AboutTime_016,4.0,3.8,4.0
AboutTime_018,4.0,3.68,3.8
AboutTime_019,4.167,4.12,4.0
AboutTime_020,3.333,3.68,3.5
AboutTime_021,3.167,3.8,3.5
AboutTime_038,3.667,3.48,4.0
AboutTime_042,4.5,4.36,4.0
AboutTime_052,4.167,3.68,3.5
AboutTime_056,4.5,4.36,3.75
AboutTime_068,4.167,3.8,3.6
AboutTime_069,4.5,4.76,3.8
AboutTime_071,4.5,4.64,4.2
AboutTime_073,4.5,4.36,4.0
AboutTime_085,3.333,3.68,3.2
AboutTime_095,4.167,4.52,3.5
AboutTime_130,4.0,4.0,3.6
AboutTime_132,4.167,3.8,4.0
AboutTime_133,4.0,4.52,4.0
AboutTime_135,4.667,4.64,4.0
AboutTime_136,4.667,4.88,4.0
Gifted_041,3.0,3.8,2.8
LadyBird_001,3.333,4.2,3.2
LadyBird_017,3.667,4.2,3.6
LadyBird_031,2.667,3.52,3.5
LadyBird_055,3.667,3.72,3.2
LadyBird_068,2.167,1.88,3.1666666666666665
LadyBird_077,4.167,3.68,3.5
LadyBird_088,3.167,3.8,3.333333333333333
LadyBird_092,3.0,3.8,3.6666666666666665
TheBlindSide_000,3.333,4.2,4.0
TheBlindSide_001,3.333,4.2,3.8333333333333335
TheBlindSide_002,3.667,3.8,3.6666666666666665
TheBlindSide_003,3.333,3.48,4.0
TheBlindSide_004,4.167,3.68,4.0
TheBlindSide_005,4.0,3.64,4.0
TheBlindSide_008,3.167,2.24,4.0
TheBlindSide_012,3.667,3.68,3.8
TheBlindSide_013,3.833,4.2,4.0
TheBlindSide_014,3.0,3.68,4.0
TheBlindSide_019,4.167,3.68,4.0
TheBlindSide_020,4.333,4.2,4.0
TheBlindSide_021,3.833,4.2,3.8333333333333335
TheBlindSide_022,4.0,4.2,4.0
TheBlindSide_024,3.0,3.68,4.0
TheBlindSide_025,3.667,3.68,3.4
TheBlindSide_027,3.0,3.68,3.8333333333333335
TheBlindSide_031,4.0,3.8,3.8
TheBlindSide_032,3.833,3.68,4.0
TheBlindSide_033,4.0,4.2,3.6666666666666665
TheBlindSide_034,3.833,3.48,4.0
TheBlindSide_035,3.667,3.68,3.6666666666666665
TheBlindSide_036,3.333,3.68,4.0
TheBlindSide_037,3.333,4.2,3.8
TheBlindSide_038,4.5,3.68,3.5
TheBlindSide_039,3.333,3.8,3.6666666666666665
TheBlindSide_040,3.667,3.0,3.8
TheBlindSide_043,3.667,3.8,4.0
TheBlindSide_044,3.0,3.68,3.6
TheBlindSide_046,4.5,3.68,3.6666666666666665
TheBlindSide_049,4.167,4.2,3.6
TheBlindSide_053,3.5,3.24,3.1666666666666665
TheBlindSide_054,4.0,3.52,4.0
TheBlindSide_055,4.333,4.2,3.8
TheBlindSide_059,4.333,4.76,4.5
TheBlindSide_060,4.833,4.88,4.2
TheBlindSide_062,3.833,3.68,3.6666666666666665
TheBlindSide_063,3.833,3.68,3.2
TheBlindSide_066,3.333,2.36,3.333333333333333
TheBlindSide_069,4.167,3.68,3.8
TheBlindSide_071,3.333,2.52,3.6
TheBlindSide_072,3.667,2.88,3.5500000000000003
TheBlindSide_073,3.167,3.12,3.5
TheBlindSide_078,4.0,3.8,3.8333333333333335
TheBlindSide_079,4.667,4.88,4.166666666666667
TheBlindSide_083,3.0,3.2,3.0
TheBlindSide_084,4.0,3.68,3.1666666666666665
TheBlindSide_086,3.5,3.2,4.5
TheBlindSide_087,3.667,3.8,3.5
TheBlindSide_088,4.333,3.68,4.2
TheBlindSide_089,4.167,3.68,3.6666666666666665
TheBlindSide_091,4.0,4.0,3.8
TheBlindSide_092,4.167,3.68,3.8
TheFaultInOurStars_004,3.833,4.2,3.2
TheFaultInOurStars_008,2.833,3.76,2.1666666666666665
TheFaultInOurStars_015,3.5,3.64,2.5
TheFaultInOurStars_032,2.833,3.48,2.2
TheFaultInOurStars_061,2.167,1.24,2.25
TheFaultInOurStars_062,2.833,2.24,1.8333333333333333
TheFaultInOurStars_069,3.333,2.36,3.0
TheFaultInOurStars_071,2.833,3.8,2.6666666666666665
TheFaultInOurStars_074,3.167,2.36,2.75
TheSpectacularNow_023,3.167,3.52,3.2
TheTheoryOfEverything_003,3.333,4.2,3.2
TheTheoryOfEverything_016,4.5,4.52,3.75
TheTheoryOfEverything_022,4.167,4.2,3.333333333333333
TheTheoryOfEverything_037,3.333,4.2,3.5
TheTheoryOfEverything_048,3.5,3.68,3.6666666666666665
TheTheoryOfEverything_054,4.0,3.88,3.2
TheTheoryOfEverything_057,4.0,4.2,3.0
